trace,source_trace,policy,l1d_coverage,l1d_accuracy,total_ipc,is_best_fixed_policy
454.calculix-104B_combo,454.calculix-104B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.079563182527,0.481132075472,2.827537470878,0
454.calculix-104B_combo,454.calculix-104B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.079563182527,0.481132075472,2.827537470878,0
456.hmmer-191B_combo,456.hmmer-191B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.016948875723,0.013129594251,2.209752344216,0
456.hmmer-191B_combo,456.hmmer-191B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.016691629511,0.013507069724,2.210134726484,0
456.hmmer-191B_combo,456.hmmer-191B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.016948875723,0.013129594251,2.209752344216,0
456.hmmer-191B_combo,456.hmmer-191B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.016691629511,0.013507069724,2.210134726484,1
456.hmmer-191B_combo,456.hmmer-191B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.005402588710,0.070892514662,2.201534138911,0
456.hmmer-191B_combo,456.hmmer-191B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.005397620472,0.070859573758,2.204927505842,0
456.hmmer-191B_combo,456.hmmer-191B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.005402588710,0.070892514662,2.201534138911,0
456.hmmer-191B_combo,456.hmmer-191B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.005397620472,0.070859573758,2.204927505842,0
458.sjeng-1088B_combo,458.sjeng-1088B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.000000000000,0.000000000000,1.485638187082,0
458.sjeng-1088B_combo,458.sjeng-1088B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.000000000000,0.000000000000,1.485647236332,1
458.sjeng-1088B_combo,458.sjeng-1088B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.000000000000,0.000000000000,1.485643704904,0
458.sjeng-1088B_combo,458.sjeng-1088B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.000000000000,0.000000000000,1.485644808474,0
458.sjeng-1088B_combo,458.sjeng-1088B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.005199523899,0.030187306783,1.483961015454,0
458.sjeng-1088B_combo,458.sjeng-1088B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.005123879151,0.029667149059,1.483619211919,0
458.sjeng-1088B_combo,458.sjeng-1088B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.005274890891,0.030780505680,1.484897846453,0
458.sjeng-1088B_combo,458.sjeng-1088B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.005301628133,0.030941047235,1.484896192763,0
459.GemsFDTD-1169B_combo,459.GemsFDTD-1169B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.105831541406,0.077661827745,0.474991567120,0
459.GemsFDTD-1169B_combo,459.GemsFDTD-1169B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.106040378071,0.077714193492,0.472353451832,0
459.GemsFDTD-1169B_combo,459.GemsFDTD-1169B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.105831541406,0.077661827745,0.474991567120,0
459.GemsFDTD-1169B_combo,459.GemsFDTD-1169B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.105880735711,0.077611675608,0.474283003962,0
459.GemsFDTD-1169B_combo,459.GemsFDTD-1169B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.207610937787,0.668530932953,0.481387794521,0
459.GemsFDTD-1169B_combo,459.GemsFDTD-1169B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.208532760939,0.669269262666,0.479513267278,0
